handwritten,rules,cost-filter,no-dup-vars,sub-prog,split-phase,bench,variable,value
True,t2.json,0.0,True,True,True,q-prod,time,Timed out.
True,t2.json,0.0,True,True,True,q-prod,cost,-1.0
True,t2.json,0.0,True,True,True,2d-conv,time,Timed out.
True,t2.json,0.0,True,True,True,2d-conv,cost,-1.0
True,t2.json,0.0,True,True,False,q-prod,time,Timed out.
True,t2.json,0.0,True,True,False,q-prod,cost,-1.0
True,t2.json,0.0,True,True,False,2d-conv,time,Timed out.
True,t2.json,0.0,True,True,False,2d-conv,cost,-1.0
True,t2.json,0.0,True,False,True,q-prod,time,Timed out.
True,t2.json,0.0,True,False,True,q-prod,cost,-1.0
True,t2.json,0.0,True,False,True,2d-conv,time,Timed out.
True,t2.json,0.0,True,False,True,2d-conv,cost,-1.0
True,t2.json,0.0,True,False,False,q-prod,time,55.08230900764465
True,t2.json,0.0,True,False,False,q-prod,cost,70.19800000000001
True,t2.json,0.0,True,False,False,2d-conv,time,49.96194314956665
True,t2.json,0.0,True,False,False,2d-conv,cost,29.739999999999995
True,t2.json,0.0,False,True,True,q-prod,time,Timed out.
True,t2.json,0.0,False,True,True,q-prod,cost,-1.0
True,t2.json,0.0,False,True,True,2d-conv,time,Timed out.
True,t2.json,0.0,False,True,True,2d-conv,cost,-1.0
True,t2.json,0.0,False,True,False,q-prod,time,Timed out.
True,t2.json,0.0,False,True,False,q-prod,cost,-1.0
True,t2.json,0.0,False,True,False,2d-conv,time,Timed out.
True,t2.json,0.0,False,True,False,2d-conv,cost,-1.0
True,t2.json,0.0,False,False,True,q-prod,time,Timed out.
True,t2.json,0.0,False,False,True,q-prod,cost,-1.0
True,t2.json,0.0,False,False,True,2d-conv,time,Timed out.
True,t2.json,0.0,False,False,True,2d-conv,cost,-1.0
True,t2.json,0.0,False,False,False,q-prod,time,53.290828227996826
True,t2.json,0.0,False,False,False,q-prod,cost,350.969
True,t2.json,0.0,False,False,False,2d-conv,time,53.307305574417114
True,t2.json,0.0,False,False,False,2d-conv,cost,29.739999999999995
True,t2.json,2.0,True,True,True,q-prod,time,Timed out.
True,t2.json,2.0,True,True,True,q-prod,cost,-1.0
True,t2.json,2.0,True,True,True,2d-conv,time,54.52214074134827
True,t2.json,2.0,True,True,True,2d-conv,cost,33.74000000000001
True,t2.json,2.0,True,True,False,q-prod,time,4.7527289390563965
True,t2.json,2.0,True,True,False,q-prod,cost,74.59200000000001
True,t2.json,2.0,True,True,False,2d-conv,time,3.5271027088165283
True,t2.json,2.0,True,True,False,2d-conv,cost,45.748000000000005
True,t2.json,2.0,True,False,True,q-prod,time,Timed out.
True,t2.json,2.0,True,False,True,q-prod,cost,-1.0
True,t2.json,2.0,True,False,True,2d-conv,time,55.23276662826538
True,t2.json,2.0,True,False,True,2d-conv,cost,33.74000000000001
True,t2.json,2.0,True,False,False,q-prod,time,4.422562599182129
True,t2.json,2.0,True,False,False,q-prod,cost,74.58600000000001
True,t2.json,2.0,True,False,False,2d-conv,time,3.431173086166382
True,t2.json,2.0,True,False,False,2d-conv,cost,45.74
True,t2.json,2.0,False,True,True,q-prod,time,57.49523687362671
True,t2.json,2.0,False,True,True,q-prod,cost,62.586
True,t2.json,2.0,False,True,True,2d-conv,time,55.070321798324585
True,t2.json,2.0,False,True,True,2d-conv,cost,33.74
True,t2.json,2.0,False,True,False,q-prod,time,7.173158884048462
True,t2.json,2.0,False,True,False,q-prod,cost,74.59200000000001
True,t2.json,2.0,False,True,False,2d-conv,time,4.213189125061035
True,t2.json,2.0,False,True,False,2d-conv,cost,45.751999999999995
True,t2.json,2.0,False,False,True,q-prod,time,56.361618757247925
True,t2.json,2.0,False,False,True,q-prod,cost,66.58600000000001
True,t2.json,2.0,False,False,True,2d-conv,time,54.51610708236694
True,t2.json,2.0,False,False,True,2d-conv,cost,33.74000000000001
True,t2.json,2.0,False,False,False,q-prod,time,6.17884635925293
True,t2.json,2.0,False,False,False,q-prod,cost,74.58600000000001
True,t2.json,2.0,False,False,False,2d-conv,time,3.810012102127075
True,t2.json,2.0,False,False,False,2d-conv,cost,45.74
True,t2.json,5.0,True,True,True,q-prod,time,55.68504810333252
True,t2.json,5.0,True,True,True,q-prod,cost,65.58800000000001
True,t2.json,5.0,True,True,True,2d-conv,time,54.70345687866211
True,t2.json,5.0,True,True,True,2d-conv,cost,33.74000000000001
True,t2.json,5.0,True,True,False,q-prod,time,4.679299592971802
True,t2.json,5.0,True,True,False,q-prod,cost,74.59200000000001
True,t2.json,5.0,True,True,False,2d-conv,time,3.5413999557495117
True,t2.json,5.0,True,True,False,2d-conv,cost,45.748000000000005
True,t2.json,5.0,True,False,True,q-prod,time,55.27986526489258
True,t2.json,5.0,True,False,True,q-prod,cost,64.586
True,t2.json,5.0,True,False,True,2d-conv,time,54.85577321052551
True,t2.json,5.0,True,False,True,2d-conv,cost,33.74000000000001
True,t2.json,5.0,True,False,False,q-prod,time,4.383836269378662
True,t2.json,5.0,True,False,False,q-prod,cost,74.58600000000001
True,t2.json,5.0,True,False,False,2d-conv,time,3.386051893234253
True,t2.json,5.0,True,False,False,2d-conv,cost,45.74
True,t2.json,5.0,False,True,True,q-prod,time,57.23850464820862
True,t2.json,5.0,False,True,True,q-prod,cost,62.586
True,t2.json,5.0,False,True,True,2d-conv,time,54.88572669029236
