iteration,name,cd,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
0,add-0,2.001,0,102,102,606.5590000000001,102,102,606.5590000000001,0
0,mul-0,2.001,0,102,102,606.5590000000001,102,102,606.5590000000001,0
0,mul-1,2.001,0,102,102,606.5590000000001,102,102,606.5590000000001,0
0,add-0-inv,-2.001,102,102,102,606.5590000000001,204,102,606.5590000000001,0
0,mul-1-inv,-2.001,102,204,102,606.5590000000001,306,102,606.5590000000001,0
0,div-1,2.001,0,306,102,606.5590000000001,306,102,606.5590000000001,0
0,div-1-inv,-2.001,102,306,102,606.5590000000001,408,102,606.5590000000001,0
0,expand-zero-get,-0.002,1,408,102,606.5590000000001,409,102,606.5590000000001,0
0,litvec,0.099,0,409,102,606.5590000000001,409,102,606.5590000000001,0
0,neg-neg,3.9999999999999996,0,409,102,606.5590000000001,409,102,606.5590000000001,0
0,neg-neg-rev,-3.9999999999999996,102,409,102,606.5590000000001,589,180,606.5590000000001,0
0,neg-sgn,0,0,589,180,606.5590000000001,589,180,606.5590000000001,0
0,neg-sgn-rev,0,0,589,180,606.5590000000001,589,180,606.5590000000001,0
0,neg-zero-inv,-2,1,589,180,606.5590000000001,589,179,606.5590000000001,0
0,neg-zero-inv-rev,2,0,589,179,606.5590000000001,589,179,606.5590000000001,0
0,neg-minus,-0.0009999999999998899,12,589,179,606.5590000000001,601,179,606.5590000000001,0
0,neg-minus-rev,0.0009999999999998899,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,neg-minus-zero,-0.0009999999999998899,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,neg-minus-zero-rev,0.0009999999999998899,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,vec-mac-add-mul,1,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,neg_unop,102.9,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,sgn_unop,102.9,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,+_binop_or_zero_vec,102.8,4,601,179,606.5590000000001,613,187,602.76,3.799000000000092
0,*_binop_or_zero_vec,102.8,0,613,187,602.76,613,187,602.76,0
0,-_binop_or_zero_vec,102.8,0,613,187,602.76,613,187,602.76,0
0,vec-mac,106.7,0,613,187,602.76,613,187,602.76,0
0,commute-add,0,27,613,187,602.76,640,187,602.76,0
0,commute-mul,0,34,640,187,602.76,674,187,602.76,0
0,assoc-add,0,6,674,187,602.76,686,193,602.76,0
0,assoc-mul,0,0,686,193,602.76,686,193,602.76,0
1,add-0,2.001,0,686,193,602.76,686,193,602.76,0
1,mul-0,2.001,0,686,193,602.76,686,193,602.76,0
1,mul-1,2.001,0,686,193,602.76,686,193,602.76,0
1,add-0-inv,-2.001,91,686,193,602.76,777,193,602.76,0
1,mul-1-inv,-2.001,91,777,193,602.76,868,193,602.76,0
1,div-1,2.001,0,868,193,602.76,868,193,602.76,0
1,div-1-inv,-2.001,91,868,193,602.76,959,193,602.76,0
1,expand-zero-get,-0.002,0,959,193,602.76,959,193,602.76,0
1,litvec,0.099,2,959,193,602.76,961,193,602.562,0.19799999999997908
1,neg-neg,3.9999999999999996,0,961,193,602.562,961,193,602.562,0
