iteration,name,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
0,ruler_13_lr-rev,0,102,102,606.5590000000001,102,102,606.5590000000001,0
0,ruler_14_lr-rev,3,102,102,606.5590000000001,111,108,603.659,2.900000000000091
0,ruler_75157_lr-rev,3,111,108,603.659,120,114,603.659,0
0,ruler_75158_lr-rev,3,120,114,603.659,123,114,603.659,0
0,ruler_75159_lr-rev,3,123,114,603.659,132,120,603.659,0
0,ruler_75160_lr-rev,3,132,120,603.659,135,120,603.659,0
0,ruler_75162_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75163_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75184_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75185_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75186_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75187_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75188_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75189_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75190_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75191_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75192_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75193_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75194_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_75195_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_76729_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_76730_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_76731_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_76732_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_76733_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_76734_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_76735_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_76736_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_76737_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_76738_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_118802_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_118803_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_118804_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_118805_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_118806_lr-rev,0,135,120,603.659,135,120,603.659,0
0,ruler_118807_lr-rev,0,135,120,603.659,135,120,603.659,0
