iteration,name,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
0,add-0,0,102,102,606.5590000000001,102,102,606.5590000000001,0
0,mul-0,0,102,102,606.5590000000001,102,102,606.5590000000001,0
0,mul-1,0,102,102,606.5590000000001,102,102,606.5590000000001,0
0,add-0-inv,102,102,102,606.5590000000001,204,102,606.5590000000001,0
0,mul-1-inv,102,204,102,606.5590000000001,306,102,606.5590000000001,0
0,div-1,0,306,102,606.5590000000001,306,102,606.5590000000001,0
0,div-1-inv,102,306,102,606.5590000000001,408,102,606.5590000000001,0
0,expand-zero-get,1,408,102,606.5590000000001,409,102,606.5590000000001,0
0,litvec,0,409,102,606.5590000000001,409,102,606.5590000000001,0
0,neg-neg,0,409,102,606.5590000000001,409,102,606.5590000000001,0
0,neg-neg-rev,102,409,102,606.5590000000001,589,180,606.5590000000001,0
0,neg-sgn,0,589,180,606.5590000000001,589,180,606.5590000000001,0
0,neg-sgn-rev,0,589,180,606.5590000000001,589,180,606.5590000000001,0
0,neg-zero-inv,1,589,180,606.5590000000001,589,179,606.5590000000001,0
0,neg-zero-inv-rev,0,589,179,606.5590000000001,589,179,606.5590000000001,0
0,neg-minus,12,589,179,606.5590000000001,601,179,606.5590000000001,0
0,neg-minus-rev,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,neg-minus-zero,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,neg-minus-zero-rev,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,vec-mac-add-mul,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,neg_unop,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,sgn_unop,0,601,179,606.5590000000001,601,179,606.5590000000001,0
0,+_binop_or_zero_vec,4,601,179,606.5590000000001,613,187,602.76,3.799000000000092
0,*_binop_or_zero_vec,0,613,187,602.76,613,187,602.76,0
0,-_binop_or_zero_vec,0,613,187,602.76,613,187,602.76,0
0,vec-mac,0,613,187,602.76,613,187,602.76,0
0,commute-add,27,613,187,602.76,640,187,602.76,0
0,commute-mul,34,640,187,602.76,674,187,602.76,0
0,assoc-add,6,674,187,602.76,686,193,602.76,0
0,assoc-mul,0,686,193,602.76,686,193,602.76,0
1,add-0,0,686,193,602.76,686,193,602.76,0
1,mul-0,0,686,193,602.76,686,193,602.76,0
1,mul-1,0,686,193,602.76,686,193,602.76,0
1,add-0-inv,91,686,193,602.76,777,193,602.76,0
1,mul-1-inv,91,777,193,602.76,868,193,602.76,0
1,div-1,0,868,193,602.76,868,193,602.76,0
1,div-1-inv,91,868,193,602.76,959,193,602.76,0
1,expand-zero-get,0,959,193,602.76,959,193,602.76,0
1,litvec,2,959,193,602.76,961,193,602.562,0.19799999999997908
1,neg-neg,0,961,193,602.562,961,193,602.562,0
1,neg-neg-rev,14,961,193,602.562,989,207,602.562,0
1,neg-sgn,0,989,207,602.562,989,207,602.562,0
1,neg-sgn-rev,0,989,207,602.562,989,207,602.562,0
1,neg-zero-inv,0,989,207,602.562,989,207,602.562,0
1,neg-zero-inv-rev,0,989,207,602.562,989,207,602.562,0
1,neg-minus,167,989,207,602.562,1156,207,602.562,0
1,neg-minus-rev,0,1156,207,602.562,1156,207,602.562,0
1,neg-minus-zero,0,1156,207,602.562,1156,207,602.562,0
1,neg-minus-zero-rev,0,1156,207,602.562,1156,207,602.562,0
1,vec-mac-add-mul,0,1156,207,602.562,1156,207,602.562,0
1,neg_unop,12,1156,207,602.562,1180,219,602.562,0
1,sgn_unop,0,1180,219,602.562,1180,219,602.562,0
1,+_binop_or_zero_vec,66,1180,219,602.562,1324,297,598.763,3.798999999999978
1,*_binop_or_zero_vec,14,1324,297,598.763,1343,302,598.763,0
1,-_binop_or_zero_vec,1,1343,302,598.763,1344,302,598.763,0
1,vec-mac,94,1344,302,598.763,1480,344,598.763,0
1,commute-add,113,1480,344,598.763,1593,344,598.763,0
1,commute-mul,101,1593,344,598.763,1694,344,598.763,0
1,assoc-add,37,1694,344,598.763,1768,381,598.763,0
1,assoc-mul,18,1768,381,598.763,1799,394,598.763,0
2,add-0,0,1799,394,598.763,1799,394,598.763,0
2,mul-0,0,1799,394,598.763,1799,394,598.763,0
2,mul-1,0,1799,394,598.763,1799,394,598.763,0
2,add-0-inv,201,1799,394,598.763,2000,394,598.763,0
2,mul-1-inv,201,2000,394,598.763,2201,394,598.763,0
2,div-1,0,2201,394,598.763,2201,394,598.763,0
2,div-1-inv,201,2201,394,598.763,2402,394,598.763,0
2,expand-zero-get,0,2402,394,598.763,2402,394,598.763,0
2,litvec,10,2402,394,598.763,2412,394,598.565,0.19799999999997908
2,neg-neg,0,2412,394,598.565,2412,394,598.565,0
2,neg-neg-rev,187,2412,394,598.565,2786,581,598.565,0
2,neg-sgn,0,2786,581,598.565,2786,581,598.565,0
2,neg-sgn-rev,0,2786,581,598.565,2786,581,598.565,0
2,neg-zero-inv,0,2786,581,598.565,2786,581,598.565,0
2,neg-zero-inv-rev,0,2786,581,598.565,2786,581,598.565,0
2,neg-minus,28,2786,581,598.565,2814,581,598.565,0
2,neg-minus-rev,0,2814,581,598.565,2814,581,598.565,0
2,neg-minus-zero,0,2814,581,598.565,2814,581,598.565,0
2,neg-minus-zero-rev,0,2814,581,598.565,2814,581,598.565,0
2,vec-mac-add-mul,21,2814,581,598.565,2814,563,598.565,0
2,neg_unop,128,2814,563,598.565,3057,678,598.565,0
2,sgn_unop,0,3057,678,598.565,3057,678,598.565,0
2,+_binop_or_zero_vec,1571,3057,678,598.565,5167,1217,598.565,0
2,*_binop_or_zero_vec,613,5167,1217,598.565,5846,1283,576.769,21.79600000000005
2,-_binop_or_zero_vec,129,5846,1283,576.769,5975,1283,576.769,0
2,vec-mac,5603,5975,1283,576.769,12030,1817,575.769,1
2,commute-add,165,12030,1817,575.769,12195,1817,575.769,0
2,commute-mul,122,12195,1817,575.769,12317,1817,575.769,0
2,assoc-add,118,12317,1817,575.769,12541,1923,575.769,0
2,assoc-mul,18,12541,1923,575.769,12572,1936,575.769,0
3,add-0,0,12572,1936,575.769,12572,1936,575.769,0
3,mul-0,0,12572,1936,575.769,12572,1936,575.769,0
3,mul-1,0,12572,1936,575.769,12572,1936,575.769,0
3,add-0-inv,1551,12572,1936,575.769,14123,1936,575.769,0
3,mul-1-inv,1551,14123,1936,575.769,15674,1936,575.769,0
3,div-1,0,15674,1936,575.769,15674,1936,575.769,0
3,div-1-inv,1551,15674,1936,575.769,17225,1936,575.769,0
3,expand-zero-get,0,17225,1936,575.769,17225,1936,575.769,0
3,litvec,35,17225,1936,575.769,17260,1936,575.571,0.19799999999997908
3,neg-neg,0,17260,1936,575.571,17260,1936,575.571,0
3,neg-neg-rev,1373,17260,1936,575.571,20006,3309,575.571,0
3,neg-sgn,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-sgn-rev,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-zero-inv,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-zero-inv-rev,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-minus,356,20006,3309,575.571,20362,3309,575.571,0
3,neg-minus-rev,0,20362,3309,575.571,20362,3309,575.571,0
3,neg-minus-zero,0,20362,3309,575.571,20362,3309,575.571,0
3,neg-minus-zero-rev,0,20362,3309,575.571,20362,3309,575.571,0
3,vec-mac-add-mul,2814,20362,3309,575.571,20362,3067,568.573,6.998000000000047
3,neg_unop,1133,20362,3067,568.573,22513,4085,568.573,0
3,sgn_unop,0,22513,4085,568.573,22513,4085,568.573,0
3,+_binop_or_zero_vec,16916,22513,4085,568.573,42278,6934,568.573,0
3,*_binop_or_zero_vec,7045,42278,6934,568.573,49748,7359,453.88,114.69299999999998
3,-_binop_or_zero_vec,684,49748,7359,453.88,50432,7359,453.88,0
3,vec-mac,89322,50432,7359,453.88,137280,8851,452.88,1
3,commute-add,413,137280,8851,452.88,137631,7871,452.88,0
3,commute-mul,223,137631,7871,452.88,137828,7535,452.88,0
3,assoc-add,278,137828,7535,452.88,138181,6975,452.88,0
3,assoc-mul,0,138181,6975,452.88,138181,6975,452.88,0
4,add-0,0,138181,6975,452.88,138181,6975,452.88,0
4,mul-0,0,138181,6975,452.88,138181,6975,452.88,0
4,mul-1,0,138181,6975,452.88,138181,6975,452.88,0
4,add-0-inv,5230,138181,6975,452.88,143411,6975,452.88,0
4,mul-1-inv,5230,143411,6975,452.88,148641,6975,452.88,0
