cost-filter,split-phase,bench,id,variable,value
0.0,auto,q-prod,0,time,4.1946446895599365
0.0,auto,q-prod,0,cost,69.87199999999999
0.0,auto,q-prod,0,phase_1_n,191
0.0,auto,q-prod,0,phase_2_n,421
0.0,auto,q-prod,0,phase_3_n,33
0.0,auto,q-prod,0,impr_cost,
0.0,syntax,q-prod,1,time,7.315228223800659
0.0,syntax,q-prod,1,cost,69.87199999999999
0.0,syntax,q-prod,1,phase_1_n,14
0.0,syntax,q-prod,1,phase_2_n,596
0.0,syntax,q-prod,1,phase_3_n,35
0.0,syntax,q-prod,1,impr_cost,
0.0,,q-prod,2,time,204.98621225357056
0.0,,q-prod,2,cost,55.87199999999999
0.0,,q-prod,2,phase_1_n,0
0.0,,q-prod,2,phase_2_n,645
0.0,,q-prod,2,phase_3_n,0
0.0,,q-prod,2,impr_cost,
5.0,auto,q-prod,3,time,4.1221020221710205
5.0,auto,q-prod,3,cost,74.58600000000001
5.0,auto,q-prod,3,phase_1_n,0
5.0,auto,q-prod,3,phase_2_n,421
5.0,auto,q-prod,3,phase_3_n,0
5.0,auto,q-prod,3,impr_cost,
5.0,syntax,q-prod,4,time,4.164104223251343
5.0,syntax,q-prod,4,cost,74.58600000000001
5.0,syntax,q-prod,4,phase_1_n,0
5.0,syntax,q-prod,4,phase_2_n,419
5.0,syntax,q-prod,4,phase_3_n,2
5.0,syntax,q-prod,4,impr_cost,
5.0,,q-prod,5,time,4.192599773406982
5.0,,q-prod,5,cost,74.58600000000001
5.0,,q-prod,5,phase_1_n,0
5.0,,q-prod,5,phase_2_n,421
5.0,,q-prod,5,phase_3_n,0
5.0,,q-prod,5,impr_cost,
,auto,q-prod,6,time,Timed out.
,auto,q-prod,6,cost,-1.0
,auto,q-prod,6,phase_1_n,259222
,auto,q-prod,6,phase_2_n,2419
,auto,q-prod,6,phase_3_n,
,auto,q-prod,6,impr_cost,
,syntax,q-prod,7,time,122.82920742034912
,syntax,q-prod,7,cost,600.556
,syntax,q-prod,7,phase_1_n,243011
,syntax,q-prod,7,phase_2_n,18620
,syntax,q-prod,7,phase_3_n,534
,syntax,q-prod,7,impr_cost,
,,q-prod,8,time,3908.2780978679657
,,q-prod,8,cost,597.0640000000001
,,q-prod,8,phase_1_n,0
,,q-prod,8,phase_2_n,262165
,,q-prod,8,phase_3_n,0
,,q-prod,8,impr_cost,
