rules,cost-filter,sub-prog,split-phase,bench,id,variable,value
time-ablation/rules-t-60.json,0,True,False,q-prod,0,time,0.0809485912322998
time-ablation/rules-t-60.json,0,True,False,q-prod,0,cost,310.29
time-ablation/rules-t-60.json,0,True,False,q-prod,0,phase_1_n,0
time-ablation/rules-t-60.json,0,True,False,q-prod,0,phase_2_n,
time-ablation/rules-t-60.json,0,True,False,q-prod,0,impr_cost,
time-ablation/rules-t-60.json,0,True,False,2d-conv,1,time,0.0722506046295166
time-ablation/rules-t-60.json,0,True,False,2d-conv,1,cost,888.924
time-ablation/rules-t-60.json,0,True,False,2d-conv,1,phase_1_n,0
time-ablation/rules-t-60.json,0,True,False,2d-conv,1,phase_2_n,
time-ablation/rules-t-60.json,0,True,False,2d-conv,1,impr_cost,
time-ablation/rules-t-60.json,0,True,False,mat-mul,2,time,0.06783199310302734
time-ablation/rules-t-60.json,0,True,False,mat-mul,2,cost,4.156000000000001
time-ablation/rules-t-60.json,0,True,False,mat-mul,2,phase_1_n,0
time-ablation/rules-t-60.json,0,True,False,mat-mul,2,phase_2_n,
time-ablation/rules-t-60.json,0,True,False,mat-mul,2,impr_cost,
time-ablation/rules-t-60.json,0,False,False,q-prod,3,time,0.08078742027282715
time-ablation/rules-t-60.json,0,False,False,q-prod,3,cost,310.29
time-ablation/rules-t-60.json,0,False,False,q-prod,3,phase_1_n,0
time-ablation/rules-t-60.json,0,False,False,q-prod,3,phase_2_n,
time-ablation/rules-t-60.json,0,False,False,q-prod,3,impr_cost,
time-ablation/rules-t-60.json,0,False,False,2d-conv,4,time,0.07204699516296387
time-ablation/rules-t-60.json,0,False,False,2d-conv,4,cost,888.924
time-ablation/rules-t-60.json,0,False,False,2d-conv,4,phase_1_n,0
time-ablation/rules-t-60.json,0,False,False,2d-conv,4,phase_2_n,
time-ablation/rules-t-60.json,0,False,False,2d-conv,4,impr_cost,
time-ablation/rules-t-60.json,0,False,False,mat-mul,5,time,0.0672919750213623
time-ablation/rules-t-60.json,0,False,False,mat-mul,5,cost,4.156000000000001
time-ablation/rules-t-60.json,0,False,False,mat-mul,5,phase_1_n,0
time-ablation/rules-t-60.json,0,False,False,mat-mul,5,phase_2_n,
time-ablation/rules-t-60.json,0,False,False,mat-mul,5,impr_cost,
time-ablation/rules-t-60.json,5,True,False,q-prod,6,time,0.0794522762298584
time-ablation/rules-t-60.json,5,True,False,q-prod,6,cost,314.765
time-ablation/rules-t-60.json,5,True,False,q-prod,6,phase_1_n,0
time-ablation/rules-t-60.json,5,True,False,q-prod,6,phase_2_n,
time-ablation/rules-t-60.json,5,True,False,q-prod,6,impr_cost,
time-ablation/rules-t-60.json,5,True,False,2d-conv,7,time,0.06991124153137207
time-ablation/rules-t-60.json,5,True,False,2d-conv,7,cost,889.7159999999999
time-ablation/rules-t-60.json,5,True,False,2d-conv,7,phase_1_n,0
time-ablation/rules-t-60.json,5,True,False,2d-conv,7,phase_2_n,
time-ablation/rules-t-60.json,5,True,False,2d-conv,7,impr_cost,
time-ablation/rules-t-60.json,5,True,False,mat-mul,8,time,0.06627178192138672
time-ablation/rules-t-60.json,5,True,False,mat-mul,8,cost,6.948
time-ablation/rules-t-60.json,5,True,False,mat-mul,8,phase_1_n,0
time-ablation/rules-t-60.json,5,True,False,mat-mul,8,phase_2_n,
time-ablation/rules-t-60.json,5,True,False,mat-mul,8,impr_cost,
time-ablation/rules-t-60.json,5,False,False,q-prod,9,time,0.08059501647949219
time-ablation/rules-t-60.json,5,False,False,q-prod,9,cost,314.765
time-ablation/rules-t-60.json,5,False,False,q-prod,9,phase_1_n,0
time-ablation/rules-t-60.json,5,False,False,q-prod,9,phase_2_n,
time-ablation/rules-t-60.json,5,False,False,q-prod,9,impr_cost,
time-ablation/rules-t-60.json,5,False,False,2d-conv,10,time,0.07149147987365723
time-ablation/rules-t-60.json,5,False,False,2d-conv,10,cost,889.7159999999999
time-ablation/rules-t-60.json,5,False,False,2d-conv,10,phase_1_n,0
time-ablation/rules-t-60.json,5,False,False,2d-conv,10,phase_2_n,
